Title,Hours,Link,,
Class 1,,,,
Half Life,4,https://www.youtube.com/watch?v=91uWeqArrok,,
Bioschock ,1,https://www.youtube.com/watch?v=OL873Vh5V9A,,
Quake,3.5,https://www.youtube.com/watch?v=8KCcbT6x2ew,,
Doom,4.5,https://www.youtube.com/watch?v=P6J352J_RG8,,
Halo,5.5,https://www.youtube.com/watch?v=82NUo0PNsrI,,
 Borderlands,1,https://www.youtube.com/watch?v=svx8g3Gd2co,,
 Duke Nukem,3.5,https://www.youtube.com/watch?v=Ex8Sk_gtFWQ,,
 Battlefield,4.5,https://www.youtube.com/watch?v=uNUArn_FIwg,,
 Call of Duty,4.5,https://www.youtube.com/watch?v=X99Rq2wIm4o,,
 Serious Sam,1,https://www.youtube.com/watch?v=Ls73n9m4KgM,,
 Gears of War,4,https://www.youtube.com/watch?v=KVDfyUrk8Q0,,
Left 4 Dead,2.5,https://www.youtube.com/watch?v=KdAdcTR7U90,,
 Medal of Honor,4,https://www.youtube.com/watch?v=wSDbat9rA3A,,
Wolfenstein,1,https://www.youtube.com/watch?v=ggyiId1h2Ag,,
 Far Cry ,1.5,https://www.youtube.com/watch?v=19oJ7tzmz2Y,,
Total Class 1,,,46,
Class 2,,,,
Warcraft,5,https://www.youtube.com/watch?v=1sH9-XTp274,,
Total War,6,https://www.youtube.com/watch?v=8HaFWnAB4eI,,
 Frozen Throne,1.5,https://www.youtube.com/watch?v=LhZx_Y3jhBI,,
Starcraft,2,https://www.youtube.com/watch?v=-qKq65tzT8g&t=5762s,,
 Age of Empires,3.5,https://www.youtube.com/watch?v=5nA8Cz870sc,,
Command and Conquer,1,https://www.youtube.com/watch?v=asKYAqkFHJc,,
Warhammer,1.5,https://www.youtube.com/watch?v=3QRstHEkXXQ,,
Stronghold Crusader ,1,https://www.youtube.com/watch?v=Y3Iri4wdIBs,,
stronghold,2,https://www.youtube.com/watch?v=nIY7uWFVniE,,
rome total war,1.8,https://www.youtube.com/watch?v=znVZWx1TzMg,,
rome total war,1.8,https://www.youtube.com/watch?v=bjKC6nYOA_k,,
empire earth,4.5,https://www.youtube.com/watch?v=DBc37Pu6IZk,,
anno,6,https://www.youtube.com/watch?v=XT9tae5yb54,,
Europa universalis,1,https://www.youtube.com/watch?v=vU285enjN4A,,
civilization,5,https://www.youtube.com/watch?v=FS0xFdbtzWs,,
xcom,3.5,https://www.youtube.com/watch?v=ZWwwhl5phlA,,
Total Class 2,,,47.1,
Class 3 RPG,,,,
Asassins creed,4,https://www.youtube.com/watch?v=ui6fK0R2uac,,
Gothic,1.5,https://www.youtube.com/watch?v=jeSQBP_NBC4,,
Final Fantasy,2,https://www.youtube.com/watch?v=1SCJwGKzgvQ,,
Shadow of war,1.5,https://www.youtube.com/watch?v=5Oh7O5bn-2I,,
Cord of the strings,1,https://www.youtube.com/watch?v=ke5V3mhY3hQ,,
World of Warcraft,7,https://www.youtube.com/watch?v=M_b02pNQw_E,,
World of warcraft,3,https://www.youtube.com/watch?v=pHofybyNfqU,,
Mass efect,2,https://www.youtube.com/watch?v=jAvI96aBy-Y,,
dragon age,1.8,https://www.youtube.com/watch?v=27zx0-h2hpI,,
dragon age,2,https://www.youtube.com/watch?v=Rjr2aUHO_9A,,
dark souls,2,https://www.youtube.com/watch?v=_uibxrP_Y7o,,
monster hunter,1,https://www.youtube.com/watch?v=4A82Lh4AU6I,,
fall out ,6,https://www.youtube.com/watch?v=yWPeUCmEv2k,,
the witcher,8,https://www.youtube.com/watch?v=ze3VoxGAweY,,
skyrim,1.5,https://www.youtube.com/watch?v=9jSxWFX4l6w,,
Class 3 Total,,,44.3,
ALL CLASSES TOTAL,137.4,,,
